dataset_name,well_id,total_time_ms,curve_fitting_time_ms,threshold_analysis_time_ms,curve_fit_attempts,curve_fit_success,threshold_success,strategy_used,memory_peak_mb
Full BMG Test,G13,8.528124999429565,7.081040999764809,1.4439580008911435,3,True,True,Wide range fit,145.078125
Full BMG Test,H2,18.034582999462145,17.847583001639578,0.18329100021219347,3,True,False,Steep curve fit,145.078125
Full BMG Test,H3,7.892499999798019,6.848750001154258,1.0407499994471436,3,True,True,Steep curve fit,145.109375
Full BMG Test,H4,8.050084001297364,6.751332999556325,1.2958339993929258,3,True,True,Standard fit,145.125
Full BMG Test,H5,8.99408300028881,7.979167001394671,1.0118339996552095,3,True,True,Standard fit,145.140625
Full BMG Test,H6,14.335541000036756,14.174666999679175,0.15800000073795673,3,True,False,Steep curve fit,145.140625
Full BMG Test,H7,10.164708000957035,9.108042000661953,1.0536669997236459,3,True,True,Standard fit,145.140625
Full BMG Test,H8,9.436416999960784,8.423458999459399,1.0099999999511056,3,True,True,Wide range fit,145.15625
Full BMG Test,H9,9.660499999881722,8.45162500081642,1.2058749998686835,3,True,True,Wide range fit,145.15625
Full BMG Test,H10,12.1370829983789,11.9576249999227,0.1761250005074544,3,True,False,Steep curve fit,145.15625
Full BMG Test,H11,8.264833999419352,7.229124999867054,1.0325830007786863,3,True,True,Wide range fit,145.15625
Full BMG Test,H12,7.422208998832502,6.412333001208026,1.00666700018337,3,True,True,Wide range fit,145.171875
Full BMG Test,H13,8.147374999680324,7.1343750005326,1.00979199851281,3,True,True,Wide range fit,145.203125
Full BMG Test,I2,11.689916000250378,11.512207998748636,0.1744170003803447,3,True,False,Steep curve fit,145.203125
Full BMG Test,I3,16.700792000847287,16.52220899995882,0.1754159984557191,3,True,False,Steep curve fit,145.203125
Full BMG Test,I4,7.597165998959099,6.507291998786968,1.086791000489029,3,True,True,Wide range fit,145.203125
Full BMG Test,I5,13.60249999925145,11.805707999883452,1.7932499995367834,3,True,True,Steep curve fit,145.21875
Full BMG Test,I6,12.601333000930026,12.123458000132814,0.47412500134669244,3,True,False,Wide range fit,145.21875
Full BMG Test,I7,15.327374998378218,13.129832999766222,2.1895000008953502,3,True,True,Standard fit,145.21875
Full BMG Test,I8,11.505165999551537,10.309875000530155,1.191500001368695,3,True,True,Wide range fit,145.21875
Full BMG Test,I9,9.24950000080571,8.1850000005943,1.061291999576497,3,True,True,Standard fit,145.234375
Full BMG Test,I10,15.852167000048212,15.6894169995212,0.15958299991325475,3,True,False,Steep curve fit,145.25
Full BMG Test,I11,9.961542000382906,8.932333999837283,1.0262089999741875,3,True,True,Standard fit,145.265625
Full BMG Test,I12,9.911041999657755,8.885667000868125,1.022415999614168,3,True,True,Standard fit,145.28125
Full BMG Test,I13,8.025167000596412,6.991124999331078,1.0310420002497267,3,True,True,Standard fit,145.296875
Full BMG Test,J2,10.811625001224456,10.64116700035811,0.16766699991421774,3,True,False,Wide range fit,145.296875
Full BMG Test,J3,8.477583000058075,7.316999999602558,1.15666700003203,3,True,True,Wide range fit,145.296875
Full BMG Test,J4,8.338083000126062,7.354749999649357,0.9801670003071195,3,True,True,Wide range fit,145.296875
Full BMG Test,J5,7.639625000592787,6.38141700073902,1.2553750002552988,3,True,True,Standard fit,145.296875
Full BMG Test,J6,12.150709000707138,12.003666999589768,0.14395799917110708,3,True,False,Steep curve fit,145.296875
Full BMG Test,J7,8.59212500108697,7.582625001305132,1.006624999718042,3,True,True,Steep curve fit,145.3125
Full BMG Test,J8,9.29879199975403,8.174833001248771,1.1211660003027646,3,True,True,Standard fit,145.328125
Full BMG Test,J9,8.881125000698376,7.815375000063796,1.0620829998515546,3,True,True,Wide range fit,145.34375
Full BMG Test,J10,15.455250000741216,15.285875000699889,0.16612499894108623,3,True,False,Wide range fit,145.34375
Full BMG Test,J11,9.22549999995681,7.907374998467276,1.3149579990567872,3,True,True,Wide range fit,145.359375
Full BMG Test,J12,11.17487500050629,9.89099999969767,1.2807500006601913,3,True,True,Steep curve fit,145.359375
Full BMG Test,J13,10.550208999120514,9.306333000495215,1.240499999767053,3,True,True,Standard fit,145.359375
Full BMG Test,K2,20.560958999340073,20.3523749987653,0.20516699987638276,3,True,False,Wide range fit,145.359375
Full BMG Test,K3,15.599999998812564,15.383707999717444,0.2123340000252938,3,True,False,Steep curve fit,145.375
Full BMG Test,K4,23.395583000819897,23.179042000265326,0.21229199955996592,3,True,False,Wide range fit,145.375
Full BMG Test,K5,14.008124999236315,13.793000000077882,0.2115419993060641,3,True,False,Wide range fit,145.375
Full BMG Test,K6,19.349375001183944,19.142000001011183,0.20420900000317488,3,True,False,Wide range fit,145.375
Full BMG Test,K7,10.496790999241057,9.15004200032854,1.3435000000754371,3,True,True,Standard fit,145.40625
Full BMG Test,K8,9.569292000378482,8.503667000695714,1.0624160004226724,3,True,True,Wide range fit,145.40625
Full BMG Test,K9,12.48558299994329,11.19250000010652,1.289958998313523,3,True,True,Wide range fit,145.40625
Full BMG Test,K10,12.799041998732719,12.600624999322463,0.19395799972699024,3,True,False,Wide range fit,145.40625
Full BMG Test,K11,12.344374999884167,11.05199999983597,1.2890409998362884,3,True,True,Standard fit,145.421875
Full BMG Test,K12,15.107332999832579,13.534875000914326,1.5543749996140832,3,True,True,Wide range fit,145.421875
Full BMG Test,K13,15.286208001271007,13.61949999954959,1.6630409991194028,3,True,True,Wide range fit,145.453125
